City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Harindanga,IN,76.98,clear sky,22.04,88.32,Hasanur Builders
1,Saint George,US,70.25,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
4,Rikitea,PF,75.47,overcast clouds,-23.12,-134.97,People ThankYou
11,Salalah,OM,76.69,scattered clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
14,Ballina,AU,82.58,scattered clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
15,Upata,VE,72.19,overcast clouds,8.01,-62.4,Posada Villa Nela
27,Kahului,US,80.62,clear sky,20.89,-156.47,Maui Seaside Hotel
33,Praya,CV,75.74,few clouds,14.92,-23.51,LT Aparthotel
40,Atuona,PF,78.35,clear sky,-9.8,-139.03,Villa Enata
41,Sijunjung,ID,76.37,overcast clouds,-0.69,100.95,Hotel Bukik Gadang
47,Cartagena,CO,82.02,few clouds,10.4,-75.51,Hotel Colombia Real - Cartagena
50,Meulaboh,ID,80.38,overcast clouds,4.14,96.13,Kost Pria
51,Quatre Cocos,MU,80.1,scattered clouds,-20.21,57.76,Sunrise Attitude Hotel
52,Veraval,IN,81.61,broken clouds,20.9,70.37,Lords Inn Somnath
53,Saint-Philippe,RE,78.39,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
54,Airai,TL,80.13,broken clouds,-8.93,125.41,Juvinal Martin
55,Divo,CI,71.31,scattered clouds,5.84,-5.36,Hôtel IROKO
56,Hilo,US,80.28,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
57,Port Blair,IN,84.96,broken clouds,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
63,Conceicao Do Araguaia,BR,72.07,moderate rain,-8.26,-49.26,Tarumã Tropical Hotel
65,Rundu,NA,75.11,broken clouds,-17.93,19.77,Millennia Estate
70,Geraldton,AU,70.21,clear sky,-28.77,114.6,Broadwater Mariner Resort
76,Butaritari,KI,82.31,scattered clouds,3.07,172.79,Isles Sunset Lodge
77,Hukuntsi,BW,75.31,broken clouds,-24.0,21.75,Entabeni Hotel
79,Sibolga,ID,76.28,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
80,Mahebourg,MU,80.26,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
82,Gabriel Leyva Solano,MX,76.01,overcast clouds,25.67,-108.64,The Big Boss House
83,Bambous Virieux,MU,80.22,scattered clouds,-20.34,57.76,Casa Tia Villa
89,Avarua,CK,75.25,few clouds,-21.21,-159.78,Paradise Inn
91,Sawtell,AU,82.72,light intensity shower rain,-30.38,153.1,The Bungalow Sawtell
92,Faanui,PF,80.58,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
93,Georgetown,MY,89.89,few clouds,5.41,100.34,Cititel Penang
95,Sao Filipe,CV,78.37,broken clouds,14.9,-24.5,Hotel Xaguate
99,Mount Isa,AU,80.37,overcast clouds,-20.73,139.5,ibis Styles Mt Isa Verona
102,Kushima,JP,72.91,scattered clouds,31.46,131.23,Hanaoka
107,Touros,BR,81.5,clear sky,-5.2,-35.46,INN NEW HORIZON
111,Saint-Pierre,RE,78.48,clear sky,-21.34,55.48,Lindsey Hôtel
114,Carnarvon,AU,73.47,clear sky,-24.87,113.63,Hospitality Carnarvon
117,Kirakira,SB,83.39,clear sky,-10.45,161.92,SanBiz Lodge
119,Yenagoa,NG,76.15,overcast clouds,4.92,6.26,Amba Hotels Limited
127,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
129,Kampot,KH,86.05,overcast clouds,10.62,104.18,Champa Lodge
130,Sur,OM,78.57,clear sky,22.57,59.53,Sur Plaza Hotel
131,Daru,PG,86.04,broken clouds,-9.08,143.21,Daru Lodge
137,Yulara,AU,73.24,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
139,Kankan,GN,74.07,clear sky,10.39,-9.31,Hotel Bate
144,Hirara,JP,82.26,few clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
145,Nabire,ID,86.38,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
148,Phan Thiet,VN,85.15,overcast clouds,10.93,108.1,Hotel Saigon-PT
149,Lorengau,PG,86.07,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
154,Victoria,HK,85.24,clear sky,22.29,114.16,Mini Hotel Central
159,Gorontalo,ID,87.94,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
164,Hithadhoo,MV,82.98,overcast clouds,-0.6,73.08,Scoop Guest House
165,Kieta,PG,84.34,light rain,-6.22,155.63,Uruna Bay Retreat
168,Mormugao,IN,81.66,scattered clouds,15.4,73.8,Coconut Creek Resort
169,Vila Velha,BR,71.94,broken clouds,-20.33,-40.29,Quality Suites Vila Velha
174,Batemans Bay,AU,82.2,light rain,-35.72,150.18,Batemans Bay Marina Resort
175,Bowen,AU,88.02,broken clouds,-20.02,148.23,Castle Motor Lodge Motel
179,Cap Malheureux,MU,80.47,clear sky,-19.98,57.61,Pereybere Hotel & Spa
184,Souillac,MU,80.37,scattered clouds,-20.52,57.52,Bils' Villa
190,Gizo,SB,85.12,light rain,-8.1,156.84,Imagination Island
191,Yarada,IN,80.92,haze,17.65,83.27,MR-SAGAR_KUMAR_RTR™
192,Alice Springs,AU,71.15,light intensity shower rain,-23.7,133.88,Desert Palms Alice Springs
198,Oranjestad,AW,82.35,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
203,Kununurra,AU,89.58,broken clouds,-15.77,128.73,Hotel Kununurra
207,Kawalu,ID,80.83,moderate rain,-7.38,108.21,KOSAN UNGU UNSIK
217,Manali,IN,77.09,moderate rain,13.17,80.27,Sarathy Lodge
219,Karratha,AU,84.63,clear sky,-20.74,116.85,ibis Styles Karratha
221,Cabedelo,BR,81.27,few clouds,-6.98,-34.83,Hotel Pigalle
222,Boa Vista,BR,80.58,few clouds,2.82,-60.67,Aipana Plaza Hotel
224,Jodhpur,IN,80.15,broken clouds,26.29,73.03,Krishna Prakash Heritage Haveli
226,Cabo San Lucas,MX,79.52,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
228,Jacareacanga,BR,72.1,overcast clouds,-6.22,-57.75,Casa do Ian😎
229,Alofi,NU,82.29,broken clouds,-19.06,-169.92,Taloa Heights
230,Wanning,CN,82.38,overcast clouds,18.8,110.4,Paradise Hotel
232,Mariveles,PH,84.6,few clouds,14.48,120.48,The Oriental Bataan
233,Dingle,PH,85.3,overcast clouds,11.0,122.67,SEGAYA PROPERTY
235,Noumea,NC,78.78,broken clouds,-22.28,166.46,Hôtel Le Lagon
238,Victoria Point,AU,79.92,light rain,-27.58,153.3,Bay Retreat Motel
242,Kalabo,ZM,73.09,broken clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
246,Espinosa,BR,71.29,overcast clouds,-14.93,-42.82,Hotel Vilma
248,Surman,LY,70.84,broken clouds,32.76,12.57,الإشارة الضوئية صرمان
