City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Harindanga,IN,22.04,88.32,76.98,49,0,7.23,clear sky
1,Saint George,US,37.10,-113.58,70.25,37,1,1.01,clear sky
2,Puerto Ayora,EC,-0.74,-90.35,69.53,75,60,9.82,broken clouds
3,Punta Arenas,CL,-53.15,-70.92,48.31,87,90,8.05,overcast clouds
4,Rikitea,PF,-23.12,-134.97,75.47,83,99,13.87,overcast clouds
5,The Pas,CA,53.83,-101.25,39.22,87,90,5.75,overcast clouds
6,Upernavik,GL,72.79,-56.15,14.72,80,96,9.42,overcast clouds
7,Megion,RU,61.03,76.11,32.02,98,100,16.78,snow
8,Chokurdakh,RU,70.63,147.92,-10.12,98,59,7.18,broken clouds
9,Vila Franca Do Campo,PT,37.72,-25.43,68.41,79,1,13.76,clear sky
10,Sorland,NO,67.67,12.69,41.61,70,99,4.83,light rain
11,Salalah,OM,17.02,54.09,76.69,69,38,1.74,scattered clouds
12,Ilulissat,GL,69.22,-51.10,15.48,95,100,4.07,light snow
13,Leningradskiy,RU,69.38,178.42,-3.14,86,19,6.22,few clouds
14,Ballina,AU,-28.87,153.57,82.58,63,40,16.11,scattered clouds
15,Upata,VE,8.01,-62.40,72.19,97,90,2.62,overcast clouds
16,Cidreira,BR,-30.18,-50.21,63.73,68,98,8.3,overcast clouds
17,Cherskiy,RU,68.75,161.30,14.65,95,100,7.2,light snow
18,Det Udom,TH,14.91,105.08,91.9,62,69,4.79,broken clouds
19,Jamestown,US,42.10,-79.24,43.72,73,1,1.01,clear sky
20,Bredasdorp,ZA,-34.53,20.04,51.12,87,62,3.44,broken clouds
21,Chuy,UY,-33.70,-53.46,53.74,80,3,5.48,clear sky
22,Busselton,AU,-33.65,115.33,66.43,41,44,4.23,scattered clouds
23,Tazovskiy,RU,67.47,78.70,33.01,94,100,15.97,overcast clouds
24,Santo Augusto,BR,-27.85,-53.78,63.86,85,76,11.63,broken clouds
25,Yellowknife,CA,62.46,-114.35,31.41,89,90,8.05,overcast clouds
26,Arman,RU,59.70,150.17,35.02,96,100,37.04,moderate rain
27,Kahului,US,20.89,-156.47,80.62,71,1,23.02,clear sky
28,Nikolskoye,RU,59.70,30.79,39.87,89,46,8.28,scattered clouds
29,Clyde River,CA,70.47,-68.59,7.02,87,45,5.08,scattered clouds
30,Port Alfred,ZA,-33.59,26.89,63.0,91,100,10.18,overcast clouds
31,Staryy Nadym,RU,65.61,72.68,34.99,98,100,18.92,overcast clouds
32,Castro,BR,-24.79,-50.01,62.62,95,77,6.8,broken clouds
33,Praya,CV,14.92,-23.51,75.74,78,20,17.27,few clouds
34,Ushuaia,AR,-54.80,-68.30,40.66,100,90,11.5,light intensity drizzle
35,Tiksi,RU,71.69,128.87,0.63,87,100,15.86,overcast clouds
