City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2021-10-28 20:42:47,-33.9258,18.4232,63.09,78,75,1.01
1,Harper,LR,2021-10-28 20:42:48,4.375,-7.7169,78.22,84,96,5.82
2,Los Llanos De Aridane,ES,2021-10-28 20:42:49,28.6585,-17.9182,65.95,79,0,6.91
3,Macklin,CA,2021-10-28 20:42:49,52.3334,-109.9348,51.13,18,31,7.7
4,Emba,KZ,2021-10-28 20:42:50,48.8264,58.1442,33.55,52,92,8.19
5,North Bend,US,2021-10-28 20:42:50,43.4065,-124.2243,74.25,94,90,9.22
6,Kaeo,NZ,2021-10-28 20:42:51,-35.1,173.7833,66.33,80,30,9.19
7,Hambantota,LK,2021-10-28 20:42:51,6.1241,81.1185,78.69,83,92,4.34
8,Tuktoyaktuk,CA,2021-10-28 20:42:52,69.4541,-133.0374,28.4,93,90,5.75
9,Verkhoyansk,RU,2021-10-28 20:42:52,67.5447,133.385,8.83,92,100,2.8
10,Butaritari,KI,2021-10-28 20:42:52,3.0707,172.7902,81.95,70,6,11.14
11,Kenai,US,2021-10-28 20:42:53,60.5544,-151.2583,33.1,93,90,17.27
12,Esperance,AU,2021-10-28 20:42:53,-33.8667,121.9,49.84,75,85,10.0
13,New Norfolk,AU,2021-10-28 20:42:54,-42.7826,147.0587,47.7,78,100,7.0
14,Mehamn,NO,2021-10-28 20:41:22,71.0357,27.8492,30.11,96,100,14.2
15,Viedma,AR,2021-10-28 20:42:54,-40.8135,-62.9967,89.02,20,67,5.68
16,Santa Cruz Del Sur,CU,2021-10-28 20:42:55,20.7147,-77.9956,84.27,72,100,13.29
17,Kavieng,PG,2021-10-28 20:42:55,-2.5744,150.7967,83.43,74,74,9.31
18,Aksarayskiy,RU,2021-10-28 20:42:56,46.7924,48.0119,48.15,86,98,4.81
19,Lorengau,PG,2021-10-28 20:42:56,-2.0226,147.2712,82.56,76,98,5.95
20,Mataura,NZ,2021-10-28 20:42:57,-46.1927,168.8643,60.37,69,19,2.39
21,Pisco,PE,2021-10-28 20:42:57,-13.7,-76.2167,69.85,68,0,14.97
22,Vaini,TO,2021-10-28 20:42:58,-21.2,-175.2,77.16,83,75,8.05
23,Yellowknife,CA,2021-10-28 20:41:18,62.456,-114.3525,36.41,100,90,0.0
24,Hobart,AU,2021-10-28 20:42:54,-42.8794,147.3294,48.06,93,90,7.0
25,Tabuk,PH,2021-10-28 20:42:58,17.4189,121.4443,69.64,91,38,2.42
26,Ketchikan,US,2021-10-28 20:42:59,55.3422,-131.6461,43.27,75,75,6.91
27,Tuatapere,NZ,2021-10-28 20:42:59,-46.1333,167.6833,59.32,74,69,4.9
28,Labuhan,ID,2021-10-28 20:43:00,-6.8844,112.2051,79.39,84,100,6.44
29,Bengkulu,ID,2021-10-28 20:43:00,-3.8004,102.2655,77.14,85,100,3.02
30,Sitka,US,2021-10-28 20:43:01,57.0531,-135.33,42.69,75,40,5.75
31,Husavik,IS,2021-10-28 20:43:02,66.0449,-17.3389,40.91,97,100,18.52
32,Punta Arenas,CL,2021-10-28 20:43:02,-53.15,-70.9167,62.62,51,75,19.57
33,Victoria Point,AU,2021-10-28 20:43:03,-27.5833,153.3,75.43,86,98,5.99
34,Ahipara,NZ,2021-10-28 20:43:04,-35.1667,173.1667,62.28,79,10,9.73
35,Port Alfred,ZA,2021-10-28 20:43:04,-33.5906,26.891,66.9,96,100,4.54
36,Ushuaia,AR,2021-10-28 20:43:04,-54.8,-68.3,62.26,34,20,17.27
37,Puerto Ayora,EC,2021-10-28 20:43:05,-0.7393,-90.3518,78.76,91,30,5.01
38,Bredasdorp,ZA,2021-10-28 20:43:05,-34.5322,20.0403,58.32,88,27,4.61
39,Atuona,PF,2021-10-28 20:43:06,-9.8,-139.0333,78.28,71,1,17.29
40,Severnyy-Kospashskiy,RU,2021-10-28 20:43:06,59.0925,57.8008,22.6,81,100,12.06
41,Lebu,CL,2021-10-28 20:43:07,-37.6167,-73.65,56.7,81,1,14.61
42,Hermanus,ZA,2021-10-28 20:43:07,-34.4187,19.2345,61.9,90,8,7.99
43,Sinnamary,GF,2021-10-28 20:40:14,5.3833,-52.95,80.28,81,100,8.7
44,Iqaluit,CA,2021-10-28 20:43:08,63.7506,-68.5145,38.93,52,90,9.22
45,Avarua,CK,2021-10-28 20:43:08,-21.2078,-159.775,75.25,73,10,12.66
46,Rikitea,PF,2021-10-28 20:39:00,-23.1203,-134.9692,75.49,80,81,17.65
47,Ugra,RU,2021-10-28 20:43:09,54.7777,34.3267,39.96,90,89,2.59
48,Cabedelo,BR,2021-10-28 20:43:09,-6.9811,-34.8339,81.27,71,85,15.3
49,Biak,ID,2021-10-28 20:43:10,-0.9131,122.8766,76.21,82,52,1.07
50,Hailey,US,2021-10-28 20:43:10,43.5196,-114.3153,55.26,62,75,6.91
51,Saint-Philippe,RE,2021-10-28 20:43:10,-21.3585,55.7679,72.99,79,3,7.25
52,West Wendover,US,2021-10-28 20:43:11,40.7391,-114.0733,58.21,55,1,8.05
53,Bairiki,KI,2021-10-28 20:43:11,1.3292,172.9752,84.2,70,20,8.05
54,Busselton,AU,2021-10-28 20:43:12,-33.65,115.3333,45.86,83,50,7.85
55,Jamestown,US,2021-10-28 20:41:15,42.097,-79.2353,62.94,59,1,9.22
56,Ostrovnoy,RU,2021-10-28 20:43:13,68.0531,39.5131,27.1,74,100,15.05
57,Flinders,AU,2021-10-28 20:43:13,-34.5833,150.8552,74.37,45,95,9.15
58,Ancud,CL,2021-10-28 20:43:13,-41.8697,-73.8203,62.13,66,33,9.31
59,Bluff,NZ,2021-10-28 20:43:14,-46.6,168.3333,57.0,84,51,4.99
60,Aleksandrovskoye,RU,2021-10-28 20:43:14,44.7142,43.0008,39.34,84,0,7.14
61,Albany,US,2021-10-28 20:40:13,42.6001,-73.9662,57.74,71,0,2.35
62,Rizhao,CN,2021-10-28 20:43:15,35.4275,119.4553,54.16,56,28,2.95
63,Moose Factory,CA,2021-10-28 20:43:15,51.2585,-80.6094,57.2,44,1,8.05
64,Port Hardy,CA,2021-10-28 20:43:16,50.6996,-127.4199,50.18,87,75,2.3
65,Nanortalik,GL,2021-10-28 20:43:16,60.1432,-45.2371,36.07,72,86,3.71
66,Fuerte Olimpo,PY,2021-10-28 20:43:17,-21.0415,-57.8738,92.84,38,77,9.82
67,Bethel,US,2021-10-28 20:43:17,41.3712,-73.414,58.1,69,1,1.01
68,Margate,GB,2021-10-28 20:43:18,51.3813,1.3862,59.31,79,52,3.0
69,Qaanaaq,GL,2021-10-28 20:43:18,77.484,-69.3632,20.7,90,100,7.02
70,Nouadhibou,MR,2021-10-28 20:43:19,20.931,-17.0347,71.58,64,6,12.66
71,Ampanihy,MG,2021-10-28 20:43:19,-24.7,44.75,61.99,62,61,11.54
72,Uromi,NG,2021-10-28 20:43:19,6.7,6.3333,71.87,92,46,2.91
73,East London,ZA,2021-10-28 20:43:18,-33.0153,27.9116,66.87,95,100,11.25
74,Hofn,IS,2021-10-28 20:43:20,64.2539,-15.2082,42.71,89,100,14.76
75,Talcahuano,CL,2021-10-28 20:43:20,-36.7167,-73.1167,65.88,63,0,14.97
76,Hami,CN,2021-10-28 20:39:48,42.8,93.45,48.56,36,34,5.59
77,Carnarvon,AU,2021-10-28 20:43:21,-24.8667,113.6333,62.67,67,0,20.71
78,Henties Bay,NA,2021-10-28 20:43:21,-22.116,14.2845,61.86,88,12,7.34
79,Mar Del Plata,AR,2021-10-28 20:38:48,-38.0023,-57.5575,77.02,84,0,13.0
80,Provideniya,RU,2021-10-28 20:43:22,64.3833,-173.3,15.91,67,90,8.95
81,Kapaa,US,2021-10-28 20:43:22,22.0752,-159.319,80.58,90,75,11.5
82,Longyearbyen,SJ,2021-10-28 20:43:23,78.2186,15.6401,15.64,79,0,6.91
83,Okhotsk,RU,2021-10-28 20:43:24,59.3833,143.3,21.97,92,61,4.81
84,Usinsk,RU,2021-10-28 20:43:24,65.9939,57.5281,17.24,84,31,17.05
85,Kruisfontein,ZA,2021-10-28 20:43:24,-34.0033,24.7314,69.89,82,100,13.11
86,Kurchum,KZ,2021-10-28 20:43:25,48.5722,83.6542,45.54,73,93,6.51
87,Manicore,BR,2021-10-28 20:43:25,-5.8092,-61.3003,83.5,74,96,3.18
88,Hithadhoo,MV,2021-10-28 20:43:26,-0.6,73.0833,83.14,74,100,13.49
89,Tuy Hoa,VN,2021-10-28 20:41:47,13.0833,109.3,75.97,92,100,4.32
90,Hilo,US,2021-10-28 20:39:48,19.7297,-155.09,82.13,64,1,0.0
91,Port Elizabeth,ZA,2021-10-28 20:43:27,-33.918,25.5701,72.1,94,90,4.61
92,Samarai,PG,2021-10-28 20:41:30,-10.6167,150.6667,82.76,79,27,11.03
93,Berlevag,NO,2021-10-28 20:43:27,70.8578,29.0864,30.15,80,75,16.11
94,Ribeira Grande,PT,2021-10-28 20:43:28,38.5167,-28.7,70.2,83,40,21.85
95,Tarko-Sale,RU,2021-10-28 20:43:28,64.9225,77.785,26.17,96,100,20.58
96,Lang Suan,TH,2021-10-28 20:43:28,9.9456,99.0785,77.83,88,97,3.78
97,Samfya,ZM,2021-10-28 20:43:29,-11.3649,29.5565,74.44,53,1,12.75
98,Yuncheng,CN,2021-10-28 20:39:21,35.0231,110.9928,55.89,72,97,2.71
99,Taunggyi,MM,2021-10-28 20:43:30,20.7833,97.0333,59.72,96,16,1.28
100,Saint-Joseph,RE,2021-10-28 20:43:30,-21.3667,55.6167,71.98,79,4,2.89
101,Matara,LK,2021-10-28 20:43:31,5.9485,80.5353,75.58,94,100,4.5
102,Haines Junction,CA,2021-10-28 20:43:31,60.7522,-137.5108,30.15,74,89,1.14
103,Marsh Harbour,BS,2021-10-28 20:43:32,26.5412,-77.0636,83.07,72,83,14.65
104,Torbay,CA,2021-10-28 20:43:32,47.6666,-52.7314,39.58,89,90,16.11
105,Luderitz,NA,2021-10-28 20:40:16,-26.6481,15.1594,58.14,90,5,5.46
106,Grand Gaube,MU,2021-10-28 20:43:33,-20.0064,57.6608,75.38,72,12,3.0
107,Causapscal,CA,2021-10-28 20:43:33,48.3542,-67.227,44.94,82,42,4.23
108,Kaitangata,NZ,2021-10-28 20:43:33,-46.2817,169.8464,58.68,72,57,5.21
109,Te Anau,NZ,2021-10-28 20:43:34,-45.4167,167.7167,56.39,70,13,0.36
110,Olafsvik,IS,2021-10-28 20:43:34,64.8945,-23.7142,41.79,91,82,33.15
111,Inzer,RU,2021-10-28 20:43:35,54.2167,57.5556,33.58,97,100,6.02
112,Yulara,AU,2021-10-28 20:43:35,-25.2406,130.9889,66.04,24,61,10.36
113,Krasnoarmeysk,RU,2021-10-28 20:43:36,51.0239,45.6969,42.08,87,100,12.64
114,Iberia,US,2021-10-28 20:43:36,29.9502,-91.7507,72.97,43,40,19.57
115,Pueblo Nuevo,MX,2021-10-28 20:43:37,23.3833,-105.3833,72.91,39,0,6.2
116,Dingle,PH,2021-10-28 20:43:37,10.9995,122.6711,74.82,92,88,6.78
117,Kabinda,CD,2021-10-28 20:43:37,-6.1333,24.4833,68.36,90,100,2.95
118,Navalmoral De La Mata,ES,2021-10-28 20:43:38,39.8916,-5.5406,64.96,39,100,3.8
119,Sao Jose Da Coroa Grande,BR,2021-10-28 20:43:39,-8.8978,-35.1478,77.63,77,99,9.69
120,Novovarshavka,RU,2021-10-28 20:43:39,54.1721,74.6946,36.82,44,93,16.28
121,Mahebourg,MU,2021-10-28 20:43:39,-20.4081,57.7,75.25,83,40,8.05
122,Fortuna,US,2021-10-28 20:43:40,40.5982,-124.1573,73.92,67,20,1.01
123,Iralaya,HN,2021-10-28 20:43:40,15.0,-83.2333,87.89,73,35,8.23
124,Tucurui,BR,2021-10-28 20:43:41,-3.7661,-49.6725,77.58,83,82,4.32
125,Thompson,CA,2021-10-28 20:43:41,55.7435,-97.8558,39.36,87,90,6.91
126,Upata,VE,2021-10-28 20:43:42,8.0086,-62.3989,76.26,81,92,3.06
127,Aklavik,CA,2021-10-28 20:43:42,68.2191,-135.0107,27.43,94,68,5.01
128,Port-Cartier,CA,2021-10-28 20:43:42,50.0334,-66.8654,46.62,57,9,1.79
129,Sayyan,YE,2021-10-28 20:43:43,15.1718,44.3244,55.54,30,6,9.06
130,Airai,TL,2021-10-28 20:43:43,-8.9266,125.4092,61.23,83,98,2.06
131,Manokwari,ID,2021-10-28 20:43:44,-0.8667,134.0833,77.5,82,75,2.93
132,Tshikapa,CD,2021-10-28 20:43:44,-6.4167,20.8,71.91,97,100,1.86
133,Paamiut,GL,2021-10-28 20:43:45,61.994,-49.6678,33.28,72,100,17.54
134,San Andres,CO,2021-10-28 20:40:25,12.5847,-81.7006,86.02,79,40,3.44
135,Soverato,IT,2021-10-28 20:43:45,38.685,16.5499,57.15,73,100,10.67
136,Nishihara,JP,2021-10-28 20:43:46,26.1842,127.7558,69.08,66,20,5.75
137,Kalianget,ID,2021-10-28 20:43:46,-7.05,113.9333,82.45,76,100,1.95
138,Jadu,LY,2021-10-28 20:43:47,31.953,12.0261,58.64,53,73,0.6
139,Georgetown,MY,2021-10-28 20:43:15,5.4112,100.3354,78.73,88,40,7.0
140,Lebanon,US,2021-10-28 20:43:47,36.2081,-86.2911,64.98,75,90,13.8
141,Safaga,EG,2021-10-28 20:43:48,26.7292,33.9365,75.15,38,9,3.31
142,Sola,VU,2021-10-28 20:43:48,-13.8833,167.55,81.32,76,43,14.5
143,Touho,NC,2021-10-28 20:43:49,-20.7833,165.2333,74.59,77,49,12.37
144,Arica,CL,2021-10-28 20:43:49,-18.475,-70.3042,72.95,68,40,9.22
145,Eskisehir,TR,2021-10-28 20:41:07,39.7767,30.5206,42.71,93,0,8.05
146,Cabo San Lucas,MX,2021-10-28 20:40:02,22.8909,-109.9124,89.62,58,0,5.08
147,Wawa,NG,2021-10-28 20:43:50,9.9022,4.4192,81.09,66,100,4.52
148,Kavaratti,IN,2021-10-28 20:43:51,10.5669,72.642,80.31,79,100,4.07
149,Dobson,US,2021-10-28 20:43:51,36.3957,-80.7226,63.32,86,100,4.61
150,Cockburn Town,TC,2021-10-28 20:42:13,21.4612,-71.1419,82.69,67,3,2.73
151,Tasiilaq,GL,2021-10-28 20:40:12,65.6145,-37.6368,30.36,73,82,8.41
152,Upernavik,GL,2021-10-28 20:43:52,72.7868,-56.1549,19.8,59,97,4.52
153,Kabanjahe,ID,2021-10-28 20:43:52,3.1001,98.4908,65.37,94,100,1.9
154,Atchison,US,2021-10-28 20:43:53,39.563,-95.1216,51.33,94,100,20.24
155,Norman Wells,CA,2021-10-28 20:43:53,65.282,-126.8329,23.04,86,90,6.91
156,Tiksi,RU,2021-10-28 20:42:39,71.6872,128.8694,11.7,95,100,4.83
157,Teknaf,BD,2021-10-28 20:43:54,20.8624,92.3058,76.55,86,84,4.99
158,Krasnoselkup,RU,2021-10-28 20:43:55,65.7,82.4667,19.8,94,100,21.41
159,Lompoc,US,2021-10-28 20:43:55,34.6391,-120.4579,90.79,28,1,11.5
160,Abha,SA,2021-10-28 20:43:56,18.2164,42.5053,58.82,82,0,0.0
161,Mana,GF,2021-10-28 20:43:56,5.6592,-53.7767,80.71,82,93,9.44
162,Lusambo,CD,2021-10-28 20:43:57,-4.9667,23.45,69.31,99,100,4.16
163,Castro,BR,2021-10-28 20:43:57,-24.7911,-50.0119,64.83,91,91,10.07
164,Kiama,AU,2021-10-28 20:43:57,-34.6833,150.8667,74.57,45,90,3.0
165,Eureka,US,2021-10-28 20:43:58,40.8021,-124.1637,74.19,76,24,3.0
166,Victoria,HK,2021-10-28 20:43:58,22.2855,114.1577,77.38,88,84,1.01
167,Kaili,ID,2021-10-28 20:43:59,-3.4626,120.2147,67.73,89,77,2.64
168,Khatanga,RU,2021-10-28 20:43:54,71.9667,102.5,-6.07,98,100,10.16
169,Saint-Pierre,RE,2021-10-28 20:43:59,-21.3393,55.4781,73.08,69,75,5.75
170,Saint Andrews,US,2021-10-28 20:44:00,34.0454,-81.1293,62.51,84,90,1.01
171,Alice Springs,AU,2021-10-28 20:44:00,-23.7,133.8833,74.75,22,40,13.8
172,Guhagar,IN,2021-10-28 20:44:01,17.4842,73.1929,73.71,61,54,6.11
173,Bambous Virieux,MU,2021-10-28 20:44:01,-20.3428,57.7575,75.22,83,40,8.05
174,La Rioja,ES,2021-10-28 20:41:15,42.25,-2.5,53.04,50,100,7.58
175,Hamilton,US,2021-10-28 20:42:40,39.1834,-84.5333,56.48,95,90,1.01
176,Mednogorsk,RU,2021-10-28 20:44:02,51.4128,57.595,34.88,85,100,11.97
177,Ponta Do Sol,PT,2021-10-28 20:44:03,32.6667,-17.1,69.71,74,63,7.16
178,Penzance,GB,2021-10-28 20:44:03,50.1186,-5.5371,58.21,91,100,8.3
179,Alofi,NU,2021-10-28 20:44:04,-19.0595,-169.9187,78.69,69,75,11.5
180,Lanzhou,CN,2021-10-28 20:44:04,36.0564,103.7922,38.48,57,100,2.42
181,Chuy,UY,2021-10-28 20:44:05,-33.6971,-53.4616,70.18,70,0,10.51
182,Kulti,IN,2021-10-28 20:44:06,23.7333,86.85,71.87,63,57,4.47
183,Acapulco,MX,2021-10-28 20:44:06,16.8634,-99.8901,84.2,73,55,6.06
184,Broome,US,2021-10-28 20:44:07,42.2506,-75.833,61.38,61,1,0.0
185,Talcher,IN,2021-10-28 20:44:07,20.95,85.2167,71.11,90,32,2.98
186,Ewa Beach,US,2021-10-28 20:44:08,21.3156,-158.0072,81.01,67,75,6.91
187,Cidreira,BR,2021-10-28 20:44:08,-30.1811,-50.2056,69.24,81,0,16.6
188,Akhmeta,GE,2021-10-28 20:44:08,42.0311,45.2075,46.92,55,0,2.95
189,Hobyo,SO,2021-10-28 20:44:09,5.3505,48.5268,79.77,77,4,6.98
190,Barcelona,ES,2021-10-28 20:41:36,41.3888,2.159,62.55,86,20,5.75
191,Anamur,TR,2021-10-28 20:44:10,36.0751,32.8369,60.82,62,2,7.78
192,Tocopilla,CL,2021-10-28 20:41:53,-22.092,-70.1979,69.12,58,29,4.65
193,La Seyne-Sur-Mer,FR,2021-10-28 20:44:10,43.0982,5.8847,62.89,76,98,3.0
194,Praia,CV,2021-10-28 20:44:00,14.9215,-23.5087,75.74,94,75,9.22
195,Moree,AU,2021-10-28 20:44:11,-29.4667,149.85,69.82,78,100,17.27
196,Narsaq,GL,2021-10-28 20:44:11,60.9167,-46.05,32.22,69,98,5.23
197,Ponorogo,ID,2021-10-28 20:44:12,-7.8685,111.462,76.75,88,100,2.66
198,Lata,PT,2021-10-28 20:44:12,40.1629,-8.3327,64.92,74,100,7.81
199,Lokomotivnyy,RU,2021-10-28 20:44:13,53.0118,60.5684,34.25,74,100,15.32
200,Padang,ID,2021-10-28 20:44:13,-0.9492,100.3543,78.21,80,100,3.31
201,Takaungu,KE,2021-10-28 20:44:14,-3.6837,39.8566,80.69,85,57,10.89
202,Kant,IN,2021-10-28 20:44:14,27.8,79.8,67.51,61,0,2.15
203,Pevek,RU,2021-10-28 20:44:14,69.7008,170.3133,1.63,95,100,4.76
204,Nueva Concepcion,GT,2021-10-28 20:44:15,14.2,-91.3,89.55,78,36,7.02
205,Egvekinot,RU,2021-10-28 20:44:15,66.3167,-179.1667,-0.49,96,99,2.42
206,Chatellerault,FR,2021-10-28 20:44:16,46.8,0.5333,54.55,6,6,13.06
207,Cap Malheureux,MU,2021-10-28 20:44:16,-19.9842,57.6142,75.47,72,13,5.01
208,Celestun,MX,2021-10-28 20:44:17,20.8667,-90.4,83.46,75,80,17.36
209,Pitkyaranta,RU,2021-10-28 20:44:17,61.5734,31.4792,43.56,91,100,15.86
210,Vanimo,PG,2021-10-28 20:44:18,-2.6741,141.3028,77.52,88,92,4.07
211,Richards Bay,ZA,2021-10-28 20:44:18,-28.783,32.0377,66.56,72,76,13.96
212,Zandvoort,NL,2021-10-28 20:44:19,52.3749,4.5341,55.29,84,0,10.36
213,Tura,IN,2021-10-28 20:44:19,25.5198,90.2201,66.4,90,0,3.8
214,Sao Filipe,CV,2021-10-28 20:44:19,14.8961,-24.4956,78.55,81,100,14.88
215,Danville,US,2021-10-28 20:40:30,36.586,-79.395,66.88,70,100,1.99
216,Daru,PG,2021-10-28 20:44:20,-9.0763,143.2092,80.38,82,100,10.4
217,Bonthe,SL,2021-10-28 20:44:20,7.5264,-12.505,77.58,88,100,5.77
218,Hasaki,JP,2021-10-28 20:44:21,35.7333,140.8333,54.0,54,91,30.49
219,Le Port,RE,2021-10-28 20:44:21,-20.9373,55.2919,73.4,97,8,11.18
220,Aksu,CN,2021-10-28 20:44:22,41.1231,80.2644,48.92,40,95,1.99
221,Nome,US,2021-10-28 20:43:19,64.5011,-165.4064,14.16,79,1,8.05
222,Sainte-Thecle,CA,2021-10-28 20:44:23,46.8168,-72.4991,50.59,66,0,6.38
